factor_set,mode,vehicle_type,fuel_type,scope,value_kg_co2_per_ton_km,basis_load_factor,basis_empty_share,source,year,is_verified,notes,is_default
reference,road,truck_24t,diesel,TTW,0.121,1.0,0.0,Customer carbon footprint report (validation dataset),2024,yes,Scope and operating basis not stated in the source report; assumed TTW at full load,yes
reference,sea,roro,hfo,TTW,0.012,1.0,0.0,Customer carbon footprint report (validation dataset),2024,yes,Close to a container-ship value despite the service being ro-ro,yes
reference,rail,intermodal,mixed,TTW,0.016,1.0,0.0,Customer carbon footprint report (validation dataset),2024,yes,Scope and operating basis not stated in the source report,yes
glec,road,artic_truck_40t,diesel_b5,TTW,0.060,0.72,0.30,GLEC Framework 2019 (Jul 2022) Table 42 - Artic truck up to 40t GVW,2022,yes,Container basis,yes
glec,road,artic_truck_40t,diesel_b5,WTW,0.075,0.72,0.30,GLEC Framework 2019 (Jul 2022) Table 42 - Artic truck up to 40t GVW,2022,yes,Container basis,yes
glec,sea,roro_trailer,hfo,TTW,0.063,0.40,0.0,GLEC Framework 2019 (Jul 2022) Table 45 - Ro-Ro fleet average trailer only,2022,yes,Unaccompanied: the tractor stays ashore,yes
glec,sea,roro_trailer,hfo,WTW,0.068,0.40,0.0,GLEC Framework 2019 (Jul 2022) Table 45 - Ro-Ro fleet average trailer only,2022,yes,Unaccompanied: the tractor stays ashore,yes
glec,rail,intermodal_container,diesel,TTW,0.020,0.50,0.17,GLEC Framework 2019 (Jul 2022) Table 38 - European rail diesel traction,2022,yes,Container basis. Conservative: electric traction on these corridors is 0.0091 WTW (Table 39),yes
glec,rail,intermodal_container,diesel,WTW,0.025,0.50,0.17,GLEC Framework 2019 (Jul 2022) Table 38 - European rail diesel traction,2022,yes,Container basis. Conservative: electric traction on these corridors is 0.0091 WTW (Table 39),yes
glec_accompanied,road,artic_truck_40t,diesel_b5,TTW,0.060,0.72,0.30,GLEC Framework 2019 (Jul 2022) Table 42 - Artic truck up to 40t GVW,2022,yes,Container basis,yes
glec_accompanied,road,artic_truck_40t,diesel_b5,WTW,0.075,0.72,0.30,GLEC Framework 2019 (Jul 2022) Table 42 - Artic truck up to 40t GVW,2022,yes,Container basis,yes
glec_accompanied,sea,roro_truck_trailer,hfo,TTW,0.093,0.40,0.0,GLEC Framework 2019 (Jul 2022) Table 45 - Ro-Ro fleet average truck and trailer,2022,yes,Accompanied: the tractor and driver travel with the load,yes
glec_accompanied,sea,roro_truck_trailer,hfo,WTW,0.100,0.40,0.0,GLEC Framework 2019 (Jul 2022) Table 45 - Ro-Ro fleet average truck and trailer,2022,yes,Accompanied: the tractor and driver travel with the load,yes
glec_accompanied,rail,intermodal_container,diesel,TTW,0.020,0.50,0.17,GLEC Framework 2019 (Jul 2022) Table 38 - European rail diesel traction,2022,yes,Container basis,yes
glec_accompanied,rail,intermodal_container,diesel,WTW,0.025,0.50,0.17,GLEC Framework 2019 (Jul 2022) Table 38 - European rail diesel traction,2022,yes,Container basis,yes
glec_freight_average,road,artic_truck_40t,diesel_b5,TTW,0.060,0.72,0.30,GLEC Framework 2019 (Jul 2022) Table 42 - Artic truck up to 40t GVW,2022,yes,Container basis,yes
glec_freight_average,road,artic_truck_40t,diesel_b5,WTW,0.075,0.72,0.30,GLEC Framework 2019 (Jul 2022) Table 42 - Artic truck up to 40t GVW,2022,yes,Container basis,yes
glec_freight_average,sea,roro_freight_average,hfo,TTW,0.042,0.40,0.0,GLEC Framework 2019 (Jul 2022) Table 45 - Ro-Ro fleet average freight only,2022,yes,Clean Shipping Index fleet average; measured rather than derived,yes
glec_freight_average,sea,roro_freight_average,hfo,WTW,0.045,0.40,0.0,GLEC Framework 2019 (Jul 2022) Table 45 - Ro-Ro fleet average freight only,2022,yes,Clean Shipping Index fleet average; measured rather than derived,yes
glec_freight_average,rail,intermodal_container,diesel,TTW,0.020,0.50,0.17,GLEC Framework 2019 (Jul 2022) Table 38 - European rail diesel traction,2022,yes,Container basis,yes
glec_freight_average,rail,intermodal_container,diesel,WTW,0.025,0.50,0.17,GLEC Framework 2019 (Jul 2022) Table 38 - European rail diesel traction,2022,yes,Container basis,yes
glec,road,artic_truck_40t,hvo,TTW,0.00086,0.72,0.30,Derived from GLEC Table 42 and DEFRA/DESNZ conversion factors,2026,no,"DEFRA publishes one generic HVO figure (17.3 g CO2eq/MJ), which sits between waste cooking oil and tallow -- consistent with a mostly waste-based UK market. Use it only when the feedstock is unknown: across the JRC pathways HVO ranges from 14% of diesel (waste cooking oil) to 73% (palm oil, open effluent pond), so this single number can understate by a factor of five, and it excludes the indirect land-use change that RED II Annex VIII assigns to crop-grown feedstock. Feedstock-specific rows: hvo_uco, hvo_tallow, hvo_rapeseed, hvo_palm.",no
glec,road,artic_truck_40t,hvo,WTW,0.01453,0.72,0.30,Derived from GLEC Table 42 and DEFRA/DESNZ conversion factors,2026,no,"DEFRA publishes one generic HVO figure (17.3 g CO2eq/MJ), which sits between waste cooking oil and tallow -- consistent with a mostly waste-based UK market. Use it only when the feedstock is unknown: across the JRC pathways HVO ranges from 14% of diesel (waste cooking oil) to 73% (palm oil, open effluent pond), so this single number can understate by a factor of five, and it excludes the indirect land-use change that RED II Annex VIII assigns to crop-grown feedstock. Feedstock-specific rows: hvo_uco, hvo_tallow, hvo_rapeseed, hvo_palm.",no
glec,road,artic_truck_40t,electric_eu,TTW,0.00000,0.72,0.30,Derived from EEA 2023 - EU average generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.242 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec,road,artic_truck_40t,electric_eu,WTW,0.02906,0.72,0.30,Derived from EEA 2023 - EU average generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.242 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec,road,artic_truck_40t,electric_de,TTW,0.00000,0.72,0.30,Derived from Ember 2025 (CY2024) - Germany generation intensity,2026,no,"Zero at the vehicle by definition; the emissions are at the power station. Compare on WTW, never on TTW. Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.33 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
glec,road,artic_truck_40t,electric_de,WTW,0.03963,0.72,0.30,Derived from Ember 2025 (CY2024) - Germany generation intensity,2026,no,"Derived: GLEC diesel implies 0.02348 l/tonne-km, which at a 0.375 tank-to-wheel and 0.78 grid-to-wheel efficiency is 0.1122 kWh/tonne-km, times 0.33 kg/kWh times 1.07 for grid losses. Payload cancels, so GLEC's basis carries over. EXCLUDES upstream fuel supply for generation, so it understates against the diesel WTW row. Grid intensity varies more than fivefold between countries — never apply one average across a multi-country route.",no
