geo,geo_name,year,total_mio_vkm,empty_mio_vkm,empty_share,intl_total_mio_vkm,intl_empty_mio_vkm,intl_empty_share
EU27_2020,European Union - 27 countries (from 2020),2022,166033,33254,0.2003,52997,6453,0.1218
EU27_2020,European Union - 27 countries (from 2020),2023,162732,32440,0.1993,51969,6302,0.1213
EU27_2020,European Union - 27 countries (from 2020),2024,162877,32191,0.1976,51446,6041,0.1174
BE,Belgium,2022,2926,319,0.109,770,87,0.113
BE,Belgium,2023,2942,329,0.1118,741,107,0.1444
BE,Belgium,2024,2818,326,0.1157,692,76,0.1098
BG,Bulgaria,2022,2656,602,0.2267,1711,210,0.1227
BG,Bulgaria,2023,2558,583,0.2279,1524,177,0.1161
BG,Bulgaria,2024,2196,591,0.2691,1092,130,0.119
CZ,Czechia,2022,6669,1098,0.1646,3001,303,0.101
CZ,Czechia,2023,6902,1120,0.1623,3206,335,0.1045
CZ,Czechia,2024,7271,1206,0.1659,3552,371,0.1044
DK,Denmark,2022,1495,130,0.087,180,13,0.0722
DK,Denmark,2023,1468,110,0.0749,171,8,0.0468
DK,Denmark,2024,1458,110,0.0754,154,12,0.0779
DE,Germany,2022,29340,6662,0.2271,2826,531,0.1879
DE,Germany,2023,28073,6513,0.232,2682,538,0.2006
DE,Germany,2024,27422,6352,0.2316,2664,539,0.2023
EE,Estonia,2022,367,77,0.2098,191,23,0.1204
EE,Estonia,2023,322,66,0.205,171,17,0.0994
EE,Estonia,2024,353,77,0.2181,161,19,0.118
IE,Ireland,2022,1779,633,0.3558,189,39,0.2063
IE,Ireland,2023,1801,664,0.3687,198,48,0.2424
IE,Ireland,2024,1885,654,0.3469,219,45,0.2055
EL,Greece,2022,2215,792,0.3576,276,29,0.1051
EL,Greece,2023,2072,664,0.3205,315,28,0.0889
EL,Greece,2024,2166,746,0.3444,334,29,0.0868
ES,Spain,2022,21582,5126,0.2375,5488,552,0.1006
ES,Spain,2023,21436,5222,0.2436,5289,556,0.1051
ES,Spain,2024,22116,5370,0.2428,5505,586,0.1064
FR,France,2022,16949,2958,0.1745,886,191,0.2156
FR,France,2023,16771,2964,0.1767,837,176,0.2103
FR,France,2024,17163,3009,0.1753,897,188,0.2096
HR,Croatia,2022,1222,309,0.2529,624,92,0.1474
HR,Croatia,2023,1286,327,0.2543,662,100,0.1511
HR,Croatia,2024,1206,301,0.2496,610,83,0.1361
CY,Cyprus,2022,151,61,0.404,2,0,0.0
CY,Cyprus,2023,149,63,0.4228,,,
CY,Cyprus,2024,158,69,0.4367,,,
LV,Latvia,2022,1205,278,0.2307,783,115,0.1469
LV,Latvia,2023,1116,281,0.2518,697,115,0.165
LV,Latvia,2024,1194,279,0.2337,774,114,0.1473
LT,Lithuania,2022,3808,556,0.146,3447,434,0.1259
LT,Lithuania,2023,4260,448,0.1052,3834,328,0.0856
LT,Lithuania,2024,4393,481,0.1095,3910,326,0.0834
LU,Luxembourg,2022,614,146,0.2378,528,120,0.2273
LU,Luxembourg,2023,586,135,0.2304,508,110,0.2165
LU,Luxembourg,2024,512,116,0.2266,440,92,0.2091
HU,Hungary,2022,3285,693,0.211,1727,191,0.1106
HU,Hungary,2023,3041,693,0.2279,1487,183,0.1231
HU,Hungary,2024,3023,622,0.2058,1623,186,0.1146
NL,Netherlands,2022,7211,1922,0.2665,2663,518,0.1945
NL,Netherlands,2023,6918,1780,0.2573,2619,513,0.1959
NL,Netherlands,2024,6891,1774,0.2574,2519,480,0.1906
AT,Austria,2022,2722,932,0.3424,667,157,0.2354
AT,Austria,2023,2682,912,0.34,661,153,0.2315
AT,Austria,2024,2667,906,0.3397,634,141,0.2224
PL,Poland,2022,32310,7273,0.2251,17663,2270,0.1285
PL,Poland,2023,31988,7043,0.2202,17737,2260,0.1274
PL,Poland,2024,31007,6779,0.2186,17124,2069,0.1208
PT,Portugal,2022,2538,437,0.1722,1432,89,0.0622
PT,Portugal,2023,2205,411,0.1864,1191,81,0.068
PT,Portugal,2024,1911,379,0.1983,964,74,0.0768
SI,Slovenia,2022,1885,347,0.1841,1522,205,0.1347
SI,Slovenia,2023,1799,355,0.1973,1410,217,0.1539
SI,Slovenia,2024,1757,337,0.1918,1408,212,0.1506
SK,Slovakia,2022,3953,820,0.2074,2152,250,0.1162
SK,Slovakia,2023,3577,792,0.2214,1765,204,0.1156
SK,Slovakia,2024,3671,767,0.2089,1905,234,0.1228
FI,Finland,2022,1979,457,0.2309,83,9,0.1084
FI,Finland,2023,1822,412,0.2261,93,12,0.129
FI,Finland,2024,1869,372,0.199,90,10,0.1111
SE,Sweden,2022,3550,623,0.1755,154,27,0.1753
SE,Sweden,2023,3283,553,0.1684,172,35,0.2035
SE,Sweden,2024,3201,569,0.1778,143,25,0.1748
NO,Norway,2022,1982,361,0.1821,126,20,0.1587
NO,Norway,2023,2311,663,0.2869,133,38,0.2857
NO,Norway,2024,2280,640,0.2807,121,40,0.3306
CH,Switzerland,2022,1896,495,0.2611,189,47,0.2487
CH,Switzerland,2023,1854,471,0.254,173,47,0.2717
CH,Switzerland,2024,1845,489,0.265,180,41,0.2278
ME,Montenegro,2022,10,4,0.4,5,2,0.4
ME,Montenegro,2023,10,5,0.5,5,2,0.4
ME,Montenegro,2024,13,6,0.4615,8,3,0.375
MK,North Macedonia,2024,81,20,0.2469,57,8,0.1404
