kind,leg,osm_km,compare_km,delta_pct,agrees,note
cross_check,Koln Hbf -> Regensburg Hbf,501.8,498.5,0.7,yes,RINF ile karsilastirma
cross_check,Duisburg Hbf -> Koln Hbf,63.6,60.3,5.5,yes,"RINF ile karsilastirma (kisa bacak, uc nokta secimi baskin)"
cross_check,Wels Vbf -> Lambach,17.0,18.6,-8.4,yes,"RINF ile karsilastirma (kisa bacak, uc nokta secimi baskin)"
corridor,trieste->wels,471.9,420.0,-11.0,,elle yazilan mesafeye karsi
corridor,trieste->lambach,462.0,380.0,-17.7,,elle yazilan mesafeye karsi
corridor,trieste->koln,1219.5,950.0,-22.1,,elle yazilan mesafeye karsi
corridor,trieste->duisburg,1279.9,1020.0,-20.3,,elle yazilan mesafeye karsi
corridor,trieste->ostrava,850.1,670.0,-21.2,,elle yazilan mesafeye karsi
corridor,trieste->regensburg,563.4,540.0,-4.2,,elle yazilan mesafeye karsi
corridor,halkali->chitila,766.3,515.0,-32.8,,elle yazilan mesafeye karsi
