imo,ship_type,reporting_period,g_co2_per_tonne_nm,kg_co2_per_tonne_km,kg_co2_per_tonne_km_laden,kg_co2_per_tonne_km_freight
7043843,Ro-ro ship,2023,514.49,0.277802,,
7226952,Ro-ro ship,2023,273.13,0.147478,,
7432733,Ro-ro ship,2023,500.91,0.27047,,
7528611,Ro-ro ship,2023,67861.54,36.6423,32.273672,
7724265,Ro-ro ship,2023,374.53,0.20223,,
8020599,Ro-ro ship,2023,176.22,0.095151,,
8300169,Ro-ro ship,2023,86.3,0.046598,,
8404276,Ro-ro ship,2023,739.02,0.399039,,
8417118,Ro-ro ship,2023,271.18,0.146425,0.004816,
8501464,Ro-ro ship,2023,334.31,0.180513,,
8716954,Ro-ro ship,2023,199.5,0.107721,,
8805597,Ro-ro ship,2023,93.43,0.050448,,
8805602,Ro-ro ship,2023,62.96,0.033996,,
8813154,Ro-ro ship,2023,141.97,0.076658,,
8820858,Ro-ro ship,2023,70.44,0.038035,,
8820860,Ro-ro ship,2023,73.93,0.039919,,
8903155,Ro-ro ship,2023,124.12,0.067019,,
8911748,Ro-ro ship,2023,457.28,0.246911,,
8912376,Ro-ro ship,2023,260.22,0.140508,,
8912388,Ro-ro ship,2023,160.95,0.086906,,
8917895,Ro-ro ship,2023,631.58,0.341026,,
9002647,Ro-ro ship,2023,113.23,0.061139,,
9002659,Ro-ro ship,2023,603.95,0.326107,,
9007867,Ro-ro ship,2023,232.71,0.125653,,
9007879,Ro-ro ship,2023,767.03,0.414163,,
9021332,Ro-ro ship,2023,75.61,0.040826,,
9087350,Ro-ro ship,2023,46.44,0.025076,0.024503,
9087362,Ro-ro ship,2023,45.37,0.024498,0.023958,
9087374,Ro-ro ship,2023,45.66,0.024654,0.024087,
9104263,Ro-ro ship,2023,418.15,0.225783,,
9112466,Ro-ro ship,2023,769.61,0.415556,,
9117985,Ro-ro ship,2023,222.5,0.12014,,
9121273,Ro-ro ship,2023,41.87,0.022608,,
9122007,Ro-ro ship,2023,138.13,0.074584,,
9125372,Ro-ro ship,2023,379.02,0.204654,,
9125384,Ro-ro ship,2023,303.13,0.163677,,
9129263,Ro-ro ship,2023,85.32,0.046069,,
9129598,Ro-ro ship,2023,100.32,0.054168,,
9131993,Ro-ro ship,2023,66.76,0.036048,,
9132014,Ro-ro ship,2023,176.71,0.095416,,
9138783,Ro-ro ship,2023,83.43,0.045049,,
9142459,Ro-ro ship,2023,213.72,0.1154,0.112133,
9153020,Ro-ro ship,2023,158.85,0.085772,,
9153032,Ro-ro ship,2023,153.32,0.082786,,
9157284,Ro-ro ship,2023,161.28,0.087084,,
9160774,Ro-ro ship,2023,129.76,0.070065,,
9165310,Ro-ro ship,2023,134.11,0.072414,,
9166625,Ro-ro ship,2023,269.47,0.145502,,
9166637,Ro-ro ship,2023,301.22,0.162646,,
9170999,Ro-ro ship,2023,240.23,0.129714,,
9175494,Ro-ro ship,2023,155.65,0.084044,,
9176632,Ro-ro ship,2023,50.31,0.027165,,
9180190,Ro-ro ship,2023,72.68,0.039244,,
9180205,Ro-ro ship,2023,74.24,0.040086,,
9181077,Ro-ro ship,2023,193.95,0.104725,,
9183984,Ro-ro ship,2023,166.88,0.090108,,
9184029,Ro-ro ship,2023,272.86,0.147333,,
9184859,Ro-ro ship,2023,90.04,0.048618,,
9186182,Ro-ro ship,2023,97.91,0.052867,,
9186194,Ro-ro ship,2023,92.9,0.050162,,
9186417,Ro-ro ship,2023,291.92,0.157624,,
9186429,Ro-ro ship,2023,208.48,0.11257,,
9186649,Ro-ro ship,2023,197.1,0.106425,0.106425,
9187318,Ro-ro ship,2023,293.43,0.15844,,
9188221,Ro-ro ship,2023,172.62,0.093207,,
9188233,Ro-ro ship,2023,119.5,0.064525,,
9188245,Ro-ro ship,2023,74.77,0.040373,,
9192129,Ro-ro ship,2023,316.38,0.170832,,
9192959,Ro-ro ship,2023,129.09,0.069703,,
9197533,Ro-ro ship,2023,239.71,0.129433,,
9198719,Ro-ro ship,2023,532.8,0.287689,,
9198721,Ro-ro ship,2023,162.51,0.087748,,
9198977,Ro-ro ship,2023,95.21,0.051409,,
9198989,Ro-ro ship,2023,184.86,0.099816,,
9207390,Ro-ro ship,2023,1494.3,0.806857,,
9207883,Ro-ro ship,2023,143.74,0.077613,,
9207895,Ro-ro ship,2023,102.52,0.055356,,
9207998,Ro-ro ship,2023,135.35,0.073083,0.070491,
9208007,Ro-ro ship,2023,159.1,0.085907,0.082457,
9209453,Ro-ro ship,2023,97.03,0.052392,,
9212644,Ro-ro ship,2023,135.02,0.072905,,
9212656,Ro-ro ship,2023,141.14,0.07621,,
9214666,Ro-ro ship,2023,1329.42,0.717829,,
9214678,Ro-ro ship,2023,102.34,0.055259,,
9215476,Ro-ro ship,2023,100.29,0.054152,,
9226360,Ro-ro ship,2023,165.07,0.089131,,
9227259,Ro-ro ship,2023,169.14,0.091328,,
9232797,Ro-ro ship,2023,52.4,0.028294,,
9234068,Ro-ro ship,2023,273.58,0.147721,,
9234070,Ro-ro ship,2023,212.05,0.114498,,
9234082,Ro-ro ship,2023,380.19,0.205286,,
9240964,Ro-ro ship,2023,312.56,0.168769,,
9240976,Ro-ro ship,2023,233.59,0.126129,,
9242388,Ro-ro ship,2023,87.41,0.047198,,
9242390,Ro-ro ship,2023,150.82,0.081436,,
9248538,Ro-ro ship,2023,186.8,0.100864,,
9248540,Ro-ro ship,2023,359.46,0.194093,,
9249996,Ro-ro ship,2023,301.02,0.162538,,
9250000,Ro-ro ship,2023,200.73,0.108386,,
9259496,Ro-ro ship,2023,135.72,0.073283,,
9259501,Ro-ro ship,2023,99.37,0.053656,,
9259513,Ro-ro ship,2023,72.63,0.039217,,
9262089,Ro-ro ship,2023,73.63,0.039757,,
9267716,Ro-ro ship,2023,54.52,0.029438,,
9267728,Ro-ro ship,2023,55.31,0.029865,,
9270842,Ro-ro ship,2023,652.93,0.352554,,
9274848,Ro-ro ship,2023,75.8,0.040929,,
9293416,Ro-ro ship,2023,69.45,0.0375,,
9293428,Ro-ro ship,2023,74.7,0.040335,,
9306706,Ro-ro ship,2023,160.73,0.086787,,
9306718,Ro-ro ship,2023,144.33,0.077932,,
9320568,Ro-ro ship,2023,79.47,0.04291,,
9322425,Ro-ro ship,2023,75.27,0.040643,,
9322437,Ro-ro ship,2023,78.16,0.042203,,
9324473,Ro-ro ship,2023,95.56,0.051598,,
9334959,Ro-ro ship,2023,288.76,0.155918,,
9337353,Ro-ro ship,2023,86.17,0.046528,,
9343261,Ro-ro ship,2023,79.78,0.043078,,
9343273,Ro-ro ship,2023,138.55,0.074811,,
9350666,Ro-ro ship,2023,190.65,0.102943,,
9350678,Ro-ro ship,2023,168.36,0.090907,,
9356737,Ro-ro ship,2023,64.04,0.034579,,
9356749,Ro-ro ship,2023,62.99,0.034012,,
9357597,Ro-ro ship,2023,109.01,0.058861,0.054973,
9357602,Ro-ro ship,2023,94.49,0.051021,0.047392,
9358060,Ro-ro ship,2023,184.87,0.099822,,
9372676,Ro-ro ship,2023,231.96,0.125248,,
9376696,Ro-ro ship,2023,77.71,0.04196,,
9376701,Ro-ro ship,2023,76.77,0.041452,,
9376713,Ro-ro ship,2023,75.76,0.040907,,
9376725,Ro-ro ship,2023,97.01,0.052381,,
9383558,Ro-ro ship,2023,658.03,0.355308,,
9383560,Ro-ro ship,2023,729.63,0.393969,,
9395343,Ro-ro ship,2023,175.37,0.094692,0.090751,
9395355,Ro-ro ship,2023,190.4,0.102808,0.096825,
9398527,Ro-ro ship,2023,701.56,0.378812,0.302603,
9399325,Ro-ro ship,2023,127.78,0.068996,0.064735,
9419747,Ro-ro ship,2023,114.49,0.06182,0.06182,
9422122,Ro-ro ship,2023,66.48,0.035896,,
9422134,Ro-ro ship,2023,62.19,0.03358,,
9424869,Ro-ro ship,2023,55.3,0.02986,,
9424871,Ro-ro ship,2023,61.2,0.033045,,
9441867,Ro-ro ship,2023,75.44,0.040734,0.039374,
9443554,Ro-ro ship,2023,91.38,0.049341,,
9443566,Ro-ro ship,2023,85.8,0.046328,,
