kaynak_rapor,yukleme_ulke,yukleme_sehir,bosaltma_ulke,bosaltma_sehir,servis_rotasi,arac_tipi,tonaj,on_tasima_karayolu_km,ana_tasima_deniz_km,ana_tasima_demiryolu_km,son_tasima_karayolu_km,tam_karayolu_km,toplam_co2_kg,tam_karayolu_co2_kg,tasarruf_co2_kg
MUSTERI_A,GB,TRING,GR,ASPROPYRGOS,TRING,24TON / 45HCPW BOX,24,115,1225,990,200,3225,1647.72,9365.4,7717.68
MUSTERI_A,GB,YORK,TR,ISTANBUL,YORK,24TON / 45HCPW BOX,24,40,2500,990,20,3425,1187.28,9946.2,8758.92
MUSTERI_A,GB,KEGWORTH,TR,ISTANBUL,KEGWORTH,24TON / 45HCPW BOX,24,163,2500,990,20,3225,1276.58,9365.4,8088.82
MUSTERI_A,LT,TRAKU,TR,ISTANBUL,TRAKU,24TON / 45HCPW BOX,24,0,0,0,0,2660,0,7724.64,7724.64
MUSTERI_B,TURKEY,KOCAELİ,DE,50829,PENDIK (TR) - TRIESTE (IT) - DUISBURG (DE),24TON / 45HCPW BOX,24,20,2500,990,70,2555,1361.52,7419.72,6058.2
MUSTERI_B,TURKEY,KOCAELİ,GR,19300,PENDIK (TR) - PATRAS (GR),24TON / 45HCPW BOX,24,20,1450,0,200,1175,1056.48,3412.2,2355.72
MUSTERI_B,TURKEY,KOCAELİ,IT,04011,PENDIK (TR) - BARI (IT),24TON / 45HCPW BOX,24,20,1825,0,450,2370,1890.48,6882.48,4992
MUSTERI_B,TURKEY,KOCAELİ,ES,19171,YALOVA (TR) - SETE (FR),24TON / 45HCPW BOX,24,45,3150,0,880,3590,3593.4,10425.36,6831.96
MUSTERI_B,TURKEY,KOCAELİ,GB,S80 3FY,PENDIK (TR) - TRIESTE (IT) - DUISBURG (DE),24TON / 45HCPW BOX,24,20,2720,1190,540,3350,2866.56,9728.4,6861.84
MUSTERI_B,TURKEY,KOCAELİ,NL,4004,PENDIK (TR) - TRIESTE (IT) - DUISBURG (DE),24TON / 45HCPW BOX,24,20,2500,1190,130,2730,1612.56,7927.92,6315.36
MUSTERI_B,TURKEY,KOCAELİ,FR,60802,YALOVA (TR) - SETE (FR),24TON / 45HCPW BOX,24,45,3150,0,895,2800,3636.96,8131.2,4494.24
MUSTERI_B,TURKEY,KOCAELİ,HR,1000,PENDIK (TR) - TRIESTE (IT),24TON / 45HCPW BOX,24,20,2500,0,235,1420,1460.52,4123.68,2663.16
MUSTERI_B,TURKEY,KOCAELİ,SI,1000,PENDIK (TR) - TRIESTE (IT),24TON / 45HCPW BOX,24,20,2500,0,100,1560,1068.48,4530.24,3461.76
MUSTERI_B,TURKEY,KOCAELİ,BE,9130,PENDIK (TR) - TRIESTE (IT) - DUISBURG (DE),24TON / 45HCPW BOX,24,20,2500,1190,200,2760,1815.84,8015.04,6199.2
MUSTERI_B,GREECE,PİREAS,TR,41400,PATRAS (GR) - PENDIK (TR),24TON / 45HCPW BOX,24,220,1450,0,20,1175,1114.56,3412.2,2297.64
MUSTERI_B,ITALY,ANZIO,TR,41400,BARI (IT) - PENDIK (TR),24TON / 45HCPW BOX,24,450,1825,0,20,2375,1890.48,6897,5006.52
MUSTERI_B,ITALY,ANZIO,GR,19300,TRA - TRIESTE (IT) - PATRAS (GR),24TON / 45HCPW BOX,24,745,1225,0,200,2450,3097.08,7114.8,4017.72
MUSTERI_B,TURKEY,GEBZE,DK,4450,PENDIK (TR) - TRIESTE (IT),24TON / 45HCPW BOX,24,20,2500,0,1690,2725,5685.84,7913.4,2227.56
MUSTERI_B,TURKEY,GEBZE,PL,Olszowa,PENDIK (TR) - TRIESTE (IT),24TON / 45HCPW BOX,24,20,2500,0,930,2200,3478.8,6388.8,2910.0
MUSTERI_B,PL,58-100,TURKEY,GEBZE,TRIESTE (IT) - PENDIK (TR),24TON / 45HCPW BOX,24,870,2500,0,20,1975,3304.56,5735.4,2430.84
MUSTERI_B,PL,58-100,TURKEY,TUZLA,TRIESTE (IT) - PENDIK (TR),24TON / 45HCPW BOX,24,870,2500,0,15,1955,3290.04,5677.32,2387.28
MUSTERI_B,PL,54-610,TURKEY,GEBZE,TRIESTE (IT) - PENDIK (TR),24TON / 45HCPW BOX,24,1010,2500,0,20,2120,3711.12,6156.48,2445.36
MUSTERI_B,TURKEY,GEBZE,Bosna,Hadzici,-,24TON / 45HCPW BOX,24,0,0,0,0,1240,0,3600.96,3600.96
MUSTERI_B,TURKEY,GEBZE,Bulgaria,Sofia,-,24TON / 45HCPW BOX,24,0,0,0,0,625,0,1815,1815
MUSTERI_B,Turkey,Gebze,Kosovo,Fushe Kosove,-,24TON / 45HCPW BOX,24,0,0,0,0,945,0,2744.28,2744.28
MUSTERI_B,Turkey,Gebze,Macedonia,Petrovec,-,24TON / 45HCPW BOX,24,0,0,0,0,870,0,2526.48,2526.48
MUSTERI_B,Turkey,Gebze,Montenegro,Kotor,-,24TON / 45HCPW BOX,24,0,0,0,0,1240,0,3600.96,3600.96
MUSTERI_B,Turkey,Gebze,Romania,Joita,-,24TON / 45HCPW BOX,24,0,0,0,0,730,0,2119.92,2119.92
MUSTERI_B,Turkey,Gebze,Serbia,Zemun,-,24TON / 45HCPW BOX,24,0,0,0,0,1040,0,3020.16,3020.16
MUSTERI_B,Poland,Swidnica,Romania,Joita,-,24TON / 45HCPW BOX,24,0,0,0,0,1390,0,4036.56,4036.56
MUSTERI_B,Greece,Pireas,Romania,Joita,-,24TON / 45HCPW BOX,24,0,0,0,0,1210,0,3513.84,3513.84
MUSTERI_B,Poland,Wroclaw,Romania,Joita,-,24TON / 45HCPW BOX,24,0,0,0,0,1530,0,4443.12,4443.12
MUSTERI_B,TURKEY,KOCAELİ,FR,60802,YALOVA (TR) - SETE (FR),,24,50,3100,0,835,2793,3353.94,8110.87,4756.93
MUSTERI_B,TURKEY,KOCAELİ,BE,9130,PENDIK (TR) - TRIESTE (IT) - DUISBURG (DE),,24,0,0,0,0,2730,0,7927.92,7927.92
